id,name,uri,artist,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
70BS5YOpvhWkkol3Alvsi1,The Girl From Ipanema,spotify:track:70BS5YOpvhWkkol3Alvsi1,"Amy Winehouse, ",0.279,0.691,0.608,0.00000175,0.111,-5.045,0.0516,138.039,0.713
6G1YS7GVFa9SebpwMED5jb,Ponteio,spotify:track:6G1YS7GVFa9SebpwMED5jb,"Astrud Gilberto, Stanley Turrentine, ",0.614,0.578,0.401,0.000209,0.123,-14.927,0.0542,113.674,0.716
2bJvI42r8EF3wxjOuDav4r,Time of Our Lives,spotify:track:2bJvI42r8EF3wxjOuDav4r,"Pitbull, Ne-Yo, ",0.0921,0.72,0.802,0,0.694,-5.797,0.0582,124.043,0.716
4cVWa9vuwfPOukSIZN9012,How Many Ways,spotify:track:4cVWa9vuwfPOukSIZN9012,"Toni Braxton, ",0.0682,0.688,0.758,0,0.192,-6.453,0.0819,77.906,0.717
1mSlftOO1dlDRXAyOE0Sbd,Treat You Better,spotify:track:1mSlftOO1dlDRXAyOE0Sbd,"Shawn Mendes, ",0.128,0.448,0.817,0,0.105,-4.069,0.386,83.015,0.718
4nVyHATevhl5RC6Qmoko5H,I Like It,spotify:track:4nVyHATevhl5RC6Qmoko5H,"Enrique Iglesias, Pitbull, ",0.0253,0.659,0.935,0,0.0653,-2.739,0.107,129.048,0.726
42VpxSdGQgnV1UJkWeGYkA,Switch,spotify:track:42VpxSdGQgnV1UJkWeGYkA,"Cass McCombs, ",0.362,0.682,0.538,0.000123,0.324,-9.296,0.0283,98.003,0.727
46I8nmGoUkxHC6hCxFPOnv,C'Est Une Bossa Nova,spotify:track:46I8nmGoUkxHC6hCxFPOnv,"Brigitte Bardot, ",0.715,0.613,0.439,0.0000128,0.135,-10.364,0.0297,136.708,0.73
27SdWb2rFzO6GWiYDBTD9j,Cheap Thrills,spotify:track:27SdWb2rFzO6GWiYDBTD9j,"Sia, ",0.0472,0.628,0.698,0.00143,0.0907,-5.608,0.105,89.976,0.73
1um3T5M9KAgWLDQk0IUzhh,Eronel,spotify:track:1um3T5M9KAgWLDQk0IUzhh,"Thelonious Monk, ",0.525,0.487,0.354,0.000273,0.0958,-13.884,0.0417,177.572,0.731
0YoOpaGDxRwq6gFbbU8lRg,The Three Of Me,spotify:track:0YoOpaGDxRwq6gFbbU8lRg,"William Bell, ",0.578,0.596,0.534,0.0000196,0.117,-6.41,0.0381,156.036,0.731
3XIIOCu6B8PuGq5j61asEM,The Greatest,spotify:track:3XIIOCu6B8PuGq5j61asEM,"Sia, Kendrick Lamar, ",0.0109,0.666,0.723,0.00047,0.0507,-6.164,0.268,192.024,0.731
1KhskNApqcI0XuIbbeERlw,Magalenha,spotify:track:1KhskNApqcI0XuIbbeERlw,"Sérgio Mendes, ",0.129,0.82,0.633,0,0.0972,-13.816,0.0745,116.622,0.731
4mEVrfI9mRyUhVCN37hg3u,Olhos Feiticeiros,spotify:track:4mEVrfI9mRyUhVCN37hg3u,"Joyce, ",0.813,0.654,0.378,0,0.11,-12.024,0.0329,141.243,0.733
62aXseVSNAFLRweK5nyb3F,All In My Head (Flex),spotify:track:62aXseVSNAFLRweK5nyb3F,"Fifth Harmony, Fetty Wap, ",0.0243,0.691,0.79,0,0.0453,-5.216,0.0561,95.047,0.733
4OSitdvzLxZByVbG5iqoYh,Só tinha de ser com você,spotify:track:4OSitdvzLxZByVbG5iqoYh,"Vanessa Da Mata, ",0.415,0.683,0.609,0.0695,0.193,-12.184,0.0406,168.125,0.734
4dASQiO1Eoo3RJvt74FtXB,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",spotify:track:4dASQiO1Eoo3RJvt74FtXB,"Lil Wayne, Wiz Khalifa, Imagine Dragons, Logic, Ty Dolla $ign, X Ambassadors, ",0.255,0.502,0.786,0,0.65,-4.378,0.317,169.021,0.734
18erGN4kzZeFOSPzlkbc2d,Confused Lover,spotify:track:18erGN4kzZeFOSPzlkbc2d,"biLLLy, ",0.424,0.625,0.419,0.0000773,0.203,-11.475,0.391,87.762,0.735
3EVwqtxoYiJmUd1Ennr10W,6:00 AM,spotify:track:3EVwqtxoYiJmUd1Ennr10W,"J Balvin, Farruko, ",0.144,0.754,0.743,0,0.275,-5.049,0.0918,176.015,0.739
5Hn8fkS53OA0gTZFgmUdkR,Chega de Saudade,spotify:track:5Hn8fkS53OA0gTZFgmUdkR,"Zeca Pagodinho, ",0.746,0.797,0.576,0.00015,0.0422,-10.289,0.207,86.014,0.743
5lRBU0r21BO0TMmUe73Ysj,The Outlaw (Rudy Van Gelder Edition) [2007 - Remastered],spotify:track:5lRBU0r21BO0TMmUe73Ysj,"Horace Silver Quintet, ",0.709,0.548,0.483,0.314,0.32,-12.246,0.035,104.35,0.744
0VUjKEQA4M9Sqb362LjEDz,3 Horas da Manhã,spotify:track:0VUjKEQA4M9Sqb362LjEDz,"Tamba Trio, ",0.717,0.697,0.595,0,0.098,-12.136,0.252,83.561,0.744
0up48KQvGzMCrgqrfT07i2,Ghosts,spotify:track:0up48KQvGzMCrgqrfT07i2,"Laura Marling, ",0.376,0.463,0.368,0,0.149,-11.546,0.048,141.974,0.746
397fxHew7NyjryGWGr1Imy,"Baby, This Love I Have",spotify:track:397fxHew7NyjryGWGr1Imy,"Minnie Riperton, ",0.315,0.589,0.437,0.00127,0.0944,-12.581,0.0487,83.263,0.747
37fKuIYSd67vF8mPpkgKyS,Honeysuckle Rose,spotify:track:37fKuIYSd67vF8mPpkgKyS,"Ray Bryant, ",0.898,0.55,0.389,0.914,0.106,-15.542,0.0308,166.246,0.753
4u5xLMRN0dgKBFFN8FiNgv,Niña Bonita,spotify:track:4u5xLMRN0dgKBFFN8FiNgv,"Chino & Nacho, ",0.271,0.675,0.905,0,0.161,-5.062,0.115,119.992,0.755
4J4NyN2RYIWpuXbZom7IU1,Samba Da Volta,spotify:track:4J4NyN2RYIWpuXbZom7IU1,"Vinícius de Moraes, Toquinho, ",0.842,0.364,0.485,0.0024,0.173,-9.382,0.0408,86.887,0.756
4Vy32l3sPINRnnq7cxgAtz,Tarde em Itapuan,spotify:track:4Vy32l3sPINRnnq7cxgAtz,"Paula Sergio, ",0.529,0.512,0.316,0.0000633,0.103,-14.529,0.122,75.693,0.757
6AhZ4fAacXwYs07H8AwRwU,I Won't Take You for Someonelse,spotify:track:6AhZ4fAacXwYs07H8AwRwU,"Fantastic Mister Zguy, ",0.137,0.699,0.767,0.000729,0.209,-6.503,0.0335,132.258,0.76
5lq65xcRqsDnkl7O7OV4ht,Falsa Bahiana,spotify:track:5lq65xcRqsDnkl7O7OV4ht,"J. Pereira, ",0.483,0.61,0.554,0.00000757,0.115,-9.072,0.122,77.273,0.76
7GsLrzsAash4bp75SltRaN,Chasing Pirates,spotify:track:7GsLrzsAash4bp75SltRaN,"Norah Jones, ",0.547,0.85,0.468,0.0667,0.106,-9.09,0.039,106.974,0.761
40MkEbKzuSW9ET6HBngqnK,Light It Up (feat. Nyla & Fuse ODG) [Remix],spotify:track:40MkEbKzuSW9ET6HBngqnK,"Major Lazer, Nyla, Fuse Odg, ",0.0375,0.747,0.877,0.000833,0.233,-3.782,0.0664,107.991,0.763
4iuNZTcvT9diFySSzVsnVS,When I See U,spotify:track:4iuNZTcvT9diFySSzVsnVS,"Fantasia, ",0.457,0.569,0.596,0.0000899,0.205,-6.486,0.171,93.134,0.764
767PVupkn44LW4Mt9ZpKAV,Take Me Away,spotify:track:767PVupkn44LW4Mt9ZpKAV,"John Legend, ",0.412,0.732,0.642,0,0.135,-6.148,0.0573,89.983,0.765
5LDgjGacK4ZLXkSwwnv5Ix,Focus - Bonus Track,spotify:track:5LDgjGacK4ZLXkSwwnv5Ix,"Emily King, ",0.15,0.756,0.509,0.231,0.0929,-13.598,0.0512,95.014,0.766
0oiNDJWFLPQoAm35OwT66P,Children's Games,spotify:track:0oiNDJWFLPQoAm35OwT66P,"Antônio Carlos Jobim, ",0.378,0.328,0.334,0.823,0.0947,-18.008,0.0426,168.999,0.767
3ZFTkvIE7kyPt6Nu3PEa7V,Hips Don't Lie,spotify:track:3ZFTkvIE7kyPt6Nu3PEa7V,"Shakira, Wyclef Jean, ",0.284,0.778,0.824,0,0.405,-5.892,0.0712,100.024,0.767
0ckCyt1ghA2YpcLRm1q68s,In My Mind,spotify:track:0ckCyt1ghA2YpcLRm1q68s,"Maty Noyes, ",0.461,0.764,0.631,0,0.0413,-3.814,0.0251,102.074,0.769
3afeZ81GDy59tATovKyH6Z,I Know You Know,spotify:track:3afeZ81GDy59tATovKyH6Z,"Esperanza Spalding, ",0.758,0.607,0.427,0.0111,0.0961,-11.417,0.0758,89.306,0.77
